att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.6551-DEC46586-ATT102,false,Art. 6(1)(b),KELLOGG COMPANY / PRINGLES SNACK BUSINESS,2012-03-28,2012-05-02,Merger,M.6551,Council Regulation 139/2004,Simplified procedure,KELLOGG COMPANY / PRINGLES SNACK BUSINESS,2012-05-02,46586,2012-05-15,DecisionType20310,Art. 6(1)(b),en,M.6551-DEC46586
M.7882-DEC48573-ATT83,false,Art. 6(1)(b),THOMAS H LEE PARTNERS / GOLDMAN SACHS / GCA SERVICE GROUP,2015-11-30,2016-01-05,Merger,M.7882,Council Regulation 139/2004,Simplified procedure,THOMAS H LEE PARTNERS / GOLDMAN SACHS / GCA SERVICE GROUP,2016-01-05,48573,2016-01-09,DecisionType20310,Art. 6(1)(b),en,M.7882-DEC48573
M.6552-DEC46678-ATT149,false,Art. 6(1)(b),METSO POWER / MW POWER | PROJECT COBRA II,2012-05-31,2012-07-02,Merger,M.6552,Council Regulation 139/2004,Simplified procedure,METSO POWER / MW POWER,2012-07-02,46678,2012-07-11,DecisionType20310,Art. 6(1)(b),en,M.6552-DEC46678
M.7881-DEC48787-ATT3286,false,Art. 6(1)(b) with conditions & obligations,AB INBEV / SABMILLER,2016-03-30,2017-03-08,Merger,M.7881,Council Regulation 139/2004,Normal procedure,AB INBEV / SABMILLER,2016-05-24,48787,2017-06-22,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.7881-DEC48787
M.7881-DEC49302-ATT3285,false,Purchaser approval,AB INBEV / SABMILLER,2016-03-30,2017-03-08,Merger,M.7881,Council Regulation 139/2004,Normal procedure,AB INBEV / SABMILLER,2017-03-08,49302,,DecisionType201250,Purchaser approval,en,M.7881-DEC49302
M.7880-DEC48596-ATT124,false,Art. 6(1)(b),MITSUBISHI HEAVY INDUSTRIES / UNICARRIERS HOLDINGS,2015-12-09,2016-01-21,Merger,M.7880,Council Regulation 139/2004,Simplified procedure,MITSUBISHI HEAVY INDUSTRIES / UNICARRIERS HOLDINGS,2016-01-21,48596,2016-01-27,DecisionType20310,Art. 6(1)(b),en,M.7880-DEC48596
M.6550-DEC46582-ATT115,false,Art. 6(1)(b),TOWERBROOK/ YORK / APOLLO / MONIER,2012-03-26,2012-04-26,Merger,M.6550,Council Regulation 139/2004,Simplified procedure,TOWERBROOK/ YORK / APOLLO / MONIER,2012-04-26,46582,2012-05-08,DecisionType20310,Art. 6(1)(b),en,M.6550-DEC46582
M.7409-DEC47841-ATT109,false,Art. 6(1)(b),APOLLO MANAGEMENT / COMPANHIA DE SEGUROS TRANQUILIDADE,2014-10-09,2014-11-03,Merger,M.7409,Council Regulation 139/2004,Simplified procedure,APOLLO MANAGEMENT / COMPANHIA DE SEGUROS TRANQUILIDADE,2014-11-03,47841,2014-11-08,DecisionType20310,Art. 6(1)(b),en,M.7409-DEC47841
M.7408-DEC48250-ATT2987,false,Art. 8(2) with conditions & obligations,CARGILL / ADM CHOCOLATE BUSINESS,2015-01-19,2016-04-14,Merger,M.7408,Council Regulation 139/2004,Normal procedure,CARGILL / ADM CHOCOLATE BUSINESS,2015-07-17,48250,2017-07-18,DecisionType20600,Art. 8(2) with conditions & obligations,en,M.7408-DEC48250
M.7408-DEC48725-ATT2999,false,Purchaser approval,CARGILL / ADM CHOCOLATE BUSINESS,2015-01-19,2016-04-14,Merger,M.7408,Council Regulation 139/2004,Normal procedure,CARGILL / ADM CHOCOLATE BUSINESS,2016-04-14,48725,,DecisionType201260,Purchaser approval,en,M.7408-DEC48725
M.7407-DEC47865-ATT126,false,Art. 6(1)(b),LEAR CORPORATION / EVERETT SMITH GROUP,2014-10-28,2014-11-21,Merger,M.7407,Council Regulation 139/2004,Simplified procedure,LEAR CORPORATION / EVERETT SMITH GROUP,2014-11-21,47865,2014-11-27,DecisionType20310,Art. 6(1)(b),en,M.7407-DEC47865
M.6559-DEC46654-ATT128,false,Art. 6(1)(b),EUROCHEM / K+S NITROGEN | EUROCHEM TRADING GMBH / K+S NITROGEN,2012-05-21,2012-06-25,Merger,M.6559,Council Regulation 139/2004,Simplified procedure,EUROCHEM TRADING GMBH / K+S NITROGEN,2012-06-25,46654,2012-07-03,DecisionType20310,Art. 6(1)(b),en,M.6559-DEC46654
M.7406-DEC47852-ATT96,false,Art. 6(1)(b),VERSALIS / LOTTE CHEMICAL CORPORATION / LOTTE VERSALIS ELASTOMERS,2014-10-20,2014-11-13,Merger,M.7406,Council Regulation 139/2004,Simplified procedure,VERSALIS / LOTTE CHEMICAL CORPORATION / LOTTE VERSALIS ELASTOMERS,2014-11-13,47852,2014-11-22,DecisionType20310,Art. 6(1)(b),en,M.7406-DEC47852
M.7889-DEC48597-ATT73,false,Art. 6(1)(b),ENGIE / REC / TEN,2015-12-18,2016-01-21,Merger,M.7889,Council Regulation 139/2004,Simplified procedure,ENGIE / REC / TEN,2016-01-21,48597,2016-01-27,DecisionType20310,Art. 6(1)(b),en,M.7889-DEC48597
M.7405-DEC47895-ATT201,false,Art. 6(1)(b),YANFENG / JCI / JV | YANFENG / JCI INTERIORS BUSINESS,2014-11-14,2014-12-11,Merger,M.7405,Council Regulation 139/2004,Simplified procedure,YANFENG / JCI INTERIORS BUSINESS,2014-12-11,47895,2014-12-18,DecisionType20310,Art. 6(1)(b),en,M.7405-DEC47895
