case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.10051,NaceSectorsJ_61_2,J.61.2 - Wireless telecommunications activities,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61_2,0
M.10052,NaceSectorsD_35_2,D.35.2 - Manufacture of gas; distribution of gaseous fuels through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10053,NaceSectorsJ_62,"J.62 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62,0
M.10054,NaceSectorsH_49_2,H.49.2 - Freight rail transport,NaceSectorsH,NaceSectorsH_49,NaceSectorsH_49_2,0
M.10055,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10055,NaceSectorsD_35_2_3,D.35.23 - Trade of gas through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10056,NaceSectorsL_68_1_0,L.68.10 - Buying and selling of own real estate,NaceSectorsL,NaceSectorsL_68,NaceSectorsL_68_1,0
M.10056,NaceSectorsL_68_2,L.68.2 - Rental and operating of own or leased real estate,NaceSectorsL,NaceSectorsL_68,NaceSectorsL_68_2,0
M.10057,NaceSectorsD_35_2_1,D.35.21 - Manufacture of gas,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.10058,NaceSectorsJ_62,"J.62 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62,0
M.10059,NaceSectorsC_26_2,C.26.2 - Manufacture of computers and peripheral equipment,NaceSectorsC,NaceSectorsC_26,NaceSectorsC_26_2,0
M.1006,NaceSectorsC_17,C.17 - Manufacture of paper and paper products,NaceSectorsC,NaceSectorsC_17,NaceSectorsC_17,0
M.10060,NaceSectorsH_52_2_9,H.52.29 - Other transportation support activities,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.10061,NaceSectorsC_11_0_1,"C.11.01 - Distilling, rectifying and blending of spirits",NaceSectorsC,NaceSectorsC_11,NaceSectorsC_11_0,0
M.10061,NaceSectorsC_11_0_3,C.11.03 - Manufacture of cider and other fruit wines,NaceSectorsC,NaceSectorsC_11,NaceSectorsC_11_0,0
M.10061,NaceSectorsC_11_0_5,C.11.05 - Manufacture of beer,NaceSectorsC,NaceSectorsC_11,NaceSectorsC_11_0,0
